t,s
1.340999999999999943e+02,5.680394621688680257e-01
1.348449999999999989e+02,5.680937468554461134e-01
1.355900000000000034e+02,5.681400860553116328e-01
1.363350000000000080e+02,5.681783236724441410e-01
1.370800000000000125e+02,5.682087743087811393e-01
1.378250000000000171e+02,5.682320783359717797e-01
1.385700000000000216e+02,5.682490797789481185e-01
1.393150000000000261e+02,5.682607280632120395e-01
1.400600000000000307e+02,5.682680023224264687e-01
1.408050000000000352e+02,5.682718554651765563e-01
1.415500000000000398e+02,5.682731745115428001e-01
1.422949999999999875e+02,5.682727536967824289e-01
1.430399999999999920e+02,5.682712773091336267e-01
1.437849999999999966e+02,5.682693099655714564e-01
1.445300000000000011e+02,5.682672928253195144e-01
1.452750000000000057e+02,5.682655449235936018e-01
1.460200000000000102e+02,5.682642692598901535e-01
1.467650000000000148e+02,5.682635634432433580e-01
1.475100000000000193e+02,5.682634345921732111e-01
1.482550000000000239e+02,5.682638178742882573e-01
1.490000000000000284e+02,5.682645976509614894e-01
1.497450000000000330e+02,5.682656297826093050e-01
1.504900000000000375e+02,5.682667633595485102e-01
1.512349999999999852e+02,5.682678600357899956e-01
1.519799999999999898e+02,5.682688093022832954e-01
1.527249999999999943e+02,5.682695384395851645e-01
1.534699999999999989e+02,5.682700164903902174e-01
1.542150000000000034e+02,5.682702523064374622e-01
1.549600000000000080e+02,5.682702874469183207e-01
1.557050000000000125e+02,5.682701853275379245e-01
1.564500000000000171e+02,5.682700184456538350e-01
1.571950000000000216e+02,5.682698556717991067e-01
1.579400000000000261e+02,5.682697514759394997e-01
1.586850000000000307e+02,5.682697385671207080e-01
1.594300000000000352e+02,5.682698248284498987e-01
1.601750000000000398e+02,5.682699947186047318e-01
1.609199999999999875e+02,5.682702145970057739e-01
1.616649999999999920e+02,5.682704408233818505e-01
1.624099999999999966e+02,5.682706290775698665e-01
1.631550000000000011e+02,5.682707432036587791e-01
1.639000000000000057e+02,5.682707620236807644e-01
1.646450000000000102e+02,5.682706829641213098e-01
1.653900000000000148e+02,5.682705219261199314e-01
1.661350000000000193e+02,5.682703095086752976e-01
1.668800000000000239e+02,5.682700843492179965e-01
1.676250000000000284e+02,5.682698848661623670e-01
1.683700000000000330e+02,5.682697409832094815e-01
1.691150000000000375e+02,5.682696674315635965e-01
1.698599999999999852e+02,5.682696599564485140e-01
1.706049999999999898e+02,5.682696952398716972e-01
1.713499999999999943e+02,5.682697346772881408e-01
1.720949999999999989e+02,5.682697314268514432e-01
1.728400000000000034e+02,5.682696395132134093e-01
1.735850000000000080e+02,5.682694233306146980e-01
1.743300000000000125e+02,5.682690657391360478e-01
1.750750000000000171e+02,5.682685731232971493e-01
1.758200000000000216e+02,5.682679762672288026e-01
1.765650000000000261e+02,5.682673266226003772e-01
1.773100000000000307e+02,5.682666883849621930e-01
1.780550000000000352e+02,5.682661276038595277e-01
1.788000000000000398e+02,5.682657001814566122e-01
1.795449999999999875e+02,5.682654409367534631e-01
1.802899999999999920e+02,5.682653558493773183e-01
1.810349999999999966e+02,5.682654191359446383e-01
1.817800000000000011e+02,5.682655760133542566e-01
1.825250000000000057e+02,5.682657509941062557e-01
1.832700000000000102e+02,5.682658605137217434e-01
1.840150000000000148e+02,5.682658278031971211e-01
1.847600000000000193e+02,5.682655973676408179e-01
1.855050000000000239e+02,5.682651463424265303e-01
1.862500000000000284e+02,5.682644904185155665e-01
1.869950000000000330e+02,5.682636829135380152e-01
1.877400000000000375e+02,5.682628067773657365e-01
1.884849999999999852e+02,5.682619606501799758e-01
1.892299999999999898e+02,5.682612412897685150e-01
1.899749999999999943e+02,5.682607255127927193e-01
1.907199999999999989e+02,5.682604550668086674e-01
1.914650000000000034e+02,5.682604274761469121e-01
1.922100000000000080e+02,5.682605949161169123e-01
